fecha,distrito,perros,gatos
2023,Arganzuela,12685,7028
2023,Barajas,6068,2176
2023,Carabanchel,24302,9955
2023,Centro,19791,12457
2023,Chamartin,13632,5181
2023,Chamberi,16040,6351
2023,Ciudad Lineal,20830,11169
2023,Fuencarral-El Pardo,21246,8199
2023,Hortaleza,18929,10671
2023,Latina,23040,18398
2023,Moncloa-Aravaca,14946,5490
2023,Moratalaz,8147,3561
2023,Puente De Vallecas,27953,9564
2023,Retiro,9389,4173
2023,Salamanca,16905,6662
2023,San Blas-Canillejas,16229,7083
2023,Tetuan,15002,7815
2023,Usera,14721,4569
2023,Vicalvaro,6377,2273
2023,Villa De Vallecas,12061,4552
2023,Villaverde,15896,4190
2022,Arganzuela,11894,5951
2022,Barajas,5087,1751
2022,Carabanchel,20833,8420
2022,Centro,16943,10645
2022,Chamartin,11289,4323
2022,Chamberi,13873,5347
2022,Ciudad Lineal,17692,9323
2022,Fuencarral-El Pardo,17742,6686
2022,Hortaleza,15795,9297
2022,Latina,19416,14783
2022,Moncloa-Aravaca,12655,4601
2022,Moratalaz,6865,3028
2022,Puente De Vallecas,23595,7855
2022,Retiro,7948,3513
2022,Salamanca,14446,5511
2022,San Blas-Canillejas,14585,5996
2022,Tetuan,12693,6554
2022,Usera,12524,3784
2022,Vicalvaro,5410,1913
2022,Villa De Vallecas,10288,3809
2022,Villaverde,12362,3432
2021,Arganzuela,10843,5439
2021,Barajas,5139,1623
2021,Carabanchel,20595,6926
2021,Centro,16442,9878
2021,Chamartin,11361,4122
2021,Chamberi,13632,4987
2021,Ciudad Lineal,17764,8708
2021,Fuencarral-El Pardo,17712,6630
2021,Hortaleza,16057,8964
2021,Latina,19253,12184
2021,Moncloa-Aravaca,12572,4226
2021,Moratalaz,6865,2722
2021,Puente De Vallecas,23675,6699
2021,Retiro,7942,3311
2021,Salamanca,13880,5316
2021,San Blas-Canillejas,14538,5401
2021,Tetuan,12607,5909
2021,Usera,12519,3175
2021,Vicalvaro,5335,1634
2021,Villa De Vallecas,10114,3204
2021,Villaverde,13470,2933
2020,Arganzuela,10732,5232
2020,Barajas,5165,1562
2020,Carabanchel,20541,6808
2020,Centro,16202,9477
2020,Chamartin,11250,3996
2020,Chamberi,13466,4782
2020,Ciudad Lineal,17522,8332
2020,Fuencarral-El Pardo,17617,6373
2020,Hortaleza,16031,8731
2020,Latina,19206,10867
2020,Moncloa-Aravaca,12545,4042
2020,Moratalaz,6836,2603
2020,Puente De Vallecas,23485,6395
2020,Retiro,7890,3184
2020,Salamanca,13634,5133
2020,San Blas-Canillejas,14473,5189
2020,Tetuan,12556,5638
2020,Usera,12474,2992
2020,Vicalvaro,5306,1560
2020,Villa De Vallecas,10003,3078
2020,Villaverde,13068,2776
2019,Arganzuela,10556,5074
2019,Barajas,5086,1515
2019,Carabanchel,20258,6387
2019,Centro,16010,9248
2019,Chamartin,11098,3922
2019,Chamberi,13359,4692
2019,Ciudad Lineal,17286,8183
2019,Fuencarral-El Pardo,17375,6121
2019,Hortaleza,15836,8556
2019,Latina,19049,10564
2019,Moncloa-Aravaca,12367,3931
2019,Moratalaz,6724,2502
2019,Puente De Vallecas,23437,6208
2019,Retiro,7786,3105
2019,Salamanca,13471,5033
2019,San Blas-Canillejas,14228,5064
2019,Tetuan,12470,5535
2019,Usera,12393,2898
2019,Vicalvaro,5244,1505
2019,Villa De Vallecas,9923,2946
2019,Villaverde,12917,2694
2018,Arganzuela,10622,4458
2018,Barajas,5203,1300
2018,Carabanchel,20265,5524
2018,Centro,15881,8186
2018,Chamartin,11417,3601
2018,Chamberi,13615,4087
2018,Ciudad Lineal,17375,7226
2018,Fuencarral-El Pardo,17645,5558
2018,Hortaleza,15965,7797
2018,Latina,19282,7990
2018,Moncloa-Aravaca,12462,3453
2018,Moratalaz,6831,2279
2018,Puente De Vallecas,23526,5138
2018,Retiro,7955,2773
2018,Salamanca,13312,4520
2018,San Blas-Canillejas,14202,4433
2018,Tetuan,12478,4763
2018,Usera,12475,2419
2018,Vicalvaro,5393,1279
2018,Villa De Vallecas,9857,2467
2018,Villaverde,12699,2307
2017,Arganzuela,10808,3668
2017,Barajas,5270,1064
2017,Carabanchel,19964,4263
2017,Centro,15775,6752
2017,Chamartin,11894,3123
2017,Chamberi,13804,3424
2017,Ciudad Lineal,17799,6273
2017,Fuencarral-El Pardo,18302,4760
2017,Hortaleza,16558,6748
2017,Latina,18898,4708
2017,Moncloa-Aravaca,12738,2776
2017,Moratalaz,6985,1909
2017,Puente De Vallecas,23860,3961
2017,Retiro,8309,2313
2017,Salamanca,13205,3797
2017,San Blas-Canillejas,14206,3572
2017,Tetuan,12583,3851
2017,Usera,12623,1847
2017,Vicalvaro,5559,1009
2017,Villa De Vallecas,9646,1875
2017,Villaverde,12553,1737
2016,Arganzuela,10591,3202
2016,Barajas,5173,981
2016,Carabanchel,19275,3728
2016,Centro,15470,6164
2016,Chamartin,11759,2809
2016,Chamberi,13461,2979
2016,Ciudad Lineal,17558,5774
